Freq.,Vvo/Vvi
1.14815362149688e-003,-1.47548822651547e-001,1.79999905959403e+002
1.15080038894443e-003,-1.47548822651540e-001,1.79999905742617e+002
1.15345325782109e-003,-1.47548822651611e-001,1.79999905525332e+002
1.15611224219209e-003,-1.47548822651556e-001,1.79999905307545e+002
1.15877735615512e-003,-1.47548822651611e-001,1.79999905089256e+002
1.16144861384034e-003,-1.47548822651666e-001,1.79999904870464e+002
1.16412602941049e-003,-1.47548822651643e-001,1.79999904651168e+002
1.16680961706096e-003,-1.47548822651634e-001,1.79999904431366e+002
1.16949939101987e-003,-1.47548822651656e-001,1.79999904211058e+002
1.17219536554813e-003,-1.47548822651663e-001,1.79999903990242e+002
1.17489755493952e-003,-1.47548822651733e-001,1.79999903768916e+002
1.17760597352080e-003,-1.47548822651629e-001,1.79999903547081e+002
1.18032063565172e-003,-1.47548822651666e-001,1.79999903324734e+002
1.18304155572516e-003,-1.47548822651594e-001,1.79999903101874e+002
1.18576874816716e-003,-1.47548822651600e-001,1.79999902878501e+002
1.18850222743701e-003,-1.47548822651652e-001,1.79999902654613e+002
1.19124200802737e-003,-1.47548822651578e-001,1.79999902430209e+002
1.19398810446427e-003,-1.47548822651630e-001,1.79999902205287e+002
1.19674053130724e-003,-1.47548822651555e-001,1.79999901979847e+002
1.19949930314937e-003,-1.47548822651575e-001,1.79999901753887e+002
1.20226443461741e-003,-1.47548822651595e-001,1.79999901527406e+002
1.20503594037179e-003,-1.47548822651567e-001,1.79999901300404e+002
1.20781383510677e-003,-1.47548822651617e-001,1.79999901072878e+002
1.21059813355048e-003,-1.47548822651573e-001,1.79999900844827e+002
1.21338885046497e-003,-1.47548822651655e-001,1.79999900616251e+002
1.21618600064636e-003,-1.47548822651594e-001,1.79999900387148e+002
1.21898959892486e-003,-1.47548822651628e-001,1.79999900157516e+002
1.22179966016487e-003,-1.47548822651598e-001,1.79999899927356e+002
1.22461619926504e-003,-1.47548822651615e-001,1.79999899696664e+002
1.22743923115840e-003,-1.47548822651539e-001,1.79999899465441e+002
1.23026877081238e-003,-1.47548822651681e-001,1.79999899233685e+002
1.23310483322890e-003,-1.47548822651572e-001,1.79999899001395e+002
1.23594743344450e-003,-1.47548822651604e-001,1.79999898768569e+002
1.23879658653036e-003,-1.47548822651604e-001,1.79999898535206e+002
1.24165230759240e-003,-1.47548822651635e-001,1.79999898301306e+002
1.24451461177138e-003,-1.47548822651651e-001,1.79999898066866e+002
1.24738351424294e-003,-1.47548822651604e-001,1.79999897831886e+002
1.25025903021771e-003,-1.47548822651586e-001,1.79999897596364e+002
1.25314117494141e-003,-1.47548822651506e-001,1.79999897360299e+002
1.25602996369487e-003,-1.47548822651599e-001,1.79999897123690e+002
1.25892541179416e-003,-1.47548822651628e-001,1.79999896886536e+002
1.26182753459066e-003,-1.47548822651689e-001,1.79999896648835e+002
1.26473634747114e-003,-1.47548822651671e-001,1.79999896410586e+002
1.26765186585784e-003,-1.47548822651715e-001,1.79999896171788e+002
1.27057410520853e-003,-1.47548822651697e-001,1.79999895932439e+002
1.27350308101665e-003,-1.47548822651708e-001,1.79999895692538e+002
1.27643880881134e-003,-1.47548822651596e-001,1.79999895452085e+002
1.27938130415752e-003,-1.47548822651702e-001,1.79999895211077e+002
1.28233058265601e-003,-1.47548822651604e-001,1.79999894969514e+002
1.28528665994361e-003,-1.47548822651646e-001,1.79999894727393e+002
1.28824955169313e-003,-1.47548822651655e-001,1.79999894484715e+002
1.29121927361353e-003,-1.47548822651619e-001,1.79999894241477e+002
1.29419584144998e-003,-1.47548822651677e-001,1.79999893997679e+002
1.29717927098395e-003,-1.47548822651623e-001,1.79999893753318e+002
1.30016957803328e-003,-1.47548822651665e-001,1.79999893508394e+002
1.30316677845229e-003,-1.47548822651611e-001,1.79999893262906e+002
1.30617088813183e-003,-1.47548822651573e-001,1.79999893016851e+002
1.30918192299940e-003,-1.47548822651676e-001,1.79999892770230e+002
1.31219989901919e-003,-1.47548822651590e-001,1.79999892523039e+002
1.31522483219223e-003,-1.47548822651660e-001,1.79999892275279e+002
1.31825673855640e-003,-1.47548822651714e-001,1.79999892026948e+002
1.32129563418657e-003,-1.47548822651534e-001,1.79999891778045e+002
1.32434153519466e-003,-1.47548822651604e-001,1.79999891528567e+002
1.32739445772973e-003,-1.47548822651579e-001,1.79999891278515e+002
1.33045441797808e-003,-1.47548822651617e-001,1.79999891027886e+002
1.33352143216331e-003,-1.47548822651670e-001,1.79999890776679e+002
1.33659551654643e-003,-1.47548822651612e-001,1.79999890524893e+002
1.33967668742593e-003,-1.47548822651586e-001,1.79999890272527e+002
1.34276496113785e-003,-1.47548822651607e-001,1.79999890019579e+002
1.34586035405594e-003,-1.47548822651596e-001,1.79999889766048e+002
1.34896288259164e-003,-1.47548822651568e-001,1.79999889511933e+002
1.35207256319427e-003,-1.47548822651667e-001,1.79999889257231e+002
1.35518941235103e-003,-1.47548822651655e-001,1.79999889001943e+002
1.35831344658714e-003,-1.47548822651690e-001,1.79999888746066e+002
1.36144468246594e-003,-1.47548822651676e-001,1.79999888489599e+002
1.36458313658891e-003,-1.47548822651632e-001,1.79999888232541e+002
1.36772882559584e-003,-1.47548822651759e-001,1.79999887974891e+002
1.37088176616484e-003,-1.47548822651637e-001,1.79999887716646e+002
1.37404197501250e-003,-1.47548822651622e-001,1.79999887457806e+002
1.37720946889394e-003,-1.47548822651639e-001,1.79999887198370e+002
1.38038426460287e-003,-1.47548822651640e-001,1.79999886938335e+002
1.38356637897177e-003,-1.47548822651655e-001,1.79999886677701e+002
1.38675582887188e-003,-1.47548822651703e-001,1.79999886416466e+002
1.38995263121334e-003,-1.47548822651608e-001,1.79999886154629e+002
1.39315680294529e-003,-1.47548822651717e-001,1.79999885892188e+002
1.39636836105593e-003,-1.47548822651701e-001,1.79999885629143e+002
1.39958732257261e-003,-1.47548822651668e-001,1.79999885365491e+002
1.40281370456195e-003,-1.47548822651713e-001,1.79999885101231e+002
1.40604752412990e-003,-1.47548822651680e-001,1.79999884836362e+002
1.40928879842186e-003,-1.47548822651694e-001,1.79999884570882e+002
1.41253754462274e-003,-1.47548822651581e-001,1.79999884304791e+002
1.41579377995707e-003,-1.47548822651671e-001,1.79999884038086e+002
1.41905752168908e-003,-1.47548822651604e-001,1.79999883770766e+002
1.42232878712281e-003,-1.47548822651695e-001,1.79999883502830e+002
1.42560759360218e-003,-1.47548822651612e-001,1.79999883234276e+002
1.42889395851109e-003,-1.47548822651655e-001,1.79999882965103e+002
1.43218789927353e-003,-1.47548822651665e-001,1.79999882695310e+002
1.43548943335364e-003,-1.47548822651565e-001,1.79999882424895e+002
1.43879857825583e-003,-1.47548822651606e-001,1.79999882153856e+002
1.44211535152486e-003,-1.47548822651757e-001,1.79999881882193e+002
1.44543977074592e-003,-1.47548822651624e-001,1.79999881609903e+002
1.44877185354475e-003,-1.47548822651696e-001,1.79999881336986e+002
1.45211161758773e-003,-1.47548822651688e-001,1.79999881063439e+002
1.45545908058195e-003,-1.47548822651711e-001,1.79999880789262e+002
1.45881426027534e-003,-1.47548822651656e-001,1.79999880514453e+002
1.46217717445671e-003,-1.47548822651710e-001,1.79999880239010e+002
1.46554784095590e-003,-1.47548822651716e-001,1.79999879962933e+002
1.46892627764385e-003,-1.47548822651723e-001,1.79999879686219e+002
1.47231250243271e-003,-1.47548822651682e-001,1.79999879408867e+002
1.47570653327588e-003,-1.47548822651672e-001,1.79999879130875e+002
1.47910838816819e-003,-1.47548822651756e-001,1.79999878852243e+002
1.48251808514594e-003,-1.47548822651634e-001,1.79999878572969e+002
1.48593564228699e-003,-1.47548822651654e-001,1.79999878293051e+002
1.48936107771090e-003,-1.47548822651689e-001,1.79999878012487e+002
1.49279440957898e-003,-1.47548822651582e-001,1.79999877731277e+002
1.49623565609442e-003,-1.47548822651601e-001,1.79999877449418e+002
1.49968483550236e-003,-1.47548822651572e-001,1.79999877166910e+002
1.50314196609001e-003,-1.47548822651621e-001,1.79999876883751e+002
1.50660706618673e-003,-1.47548822651685e-001,1.79999876599938e+002
1.51008015416413e-003,-1.47548822651640e-001,1.79999876315472e+002
1.51356124843619e-003,-1.47548822651687e-001,1.79999876030350e+002
1.51705036745932e-003,-1.47548822651672e-001,1.79999875744570e+002
1.52054752973248e-003,-1.47548822651641e-001,1.79999875458132e+002
1.52405275379728e-003,-1.47548822651608e-001,1.79999875171033e+002
1.52756605823806e-003,-1.47548822651639e-001,1.79999874883273e+002
1.53108746168202e-003,-1.47548822651747e-001,1.79999874594849e+002
1.53461698279928e-003,-1.47548822651713e-001,1.79999874305760e+002
1.53815464030302e-003,-1.47548822651665e-001,1.79999874016005e+002
1.54170045294954e-003,-1.47548822651678e-001,1.79999873725582e+002
1.54525443953840e-003,-1.47548822651643e-001,1.79999873434489e+002
1.54881661891247e-003,-1.47548822651733e-001,1.79999873142725e+002
1.55238700995807e-003,-1.47548822651635e-001,1.79999872850289e+002
1.55596563160506e-003,-1.47548822651662e-001,1.79999872557179e+002
1.55955250282694e-003,-1.47548822651705e-001,1.79999872263393e+002
1.56314764264094e-003,-1.47548822651683e-001,1.79999871968930e+002
1.56675107010813e-003,-1.47548822651693e-001,1.79999871673787e+002
1.57036280433354e-003,-1.47548822651703e-001,1.79999871377965e+002
1.57398286446620e-003,-1.47548822651569e-001,1.79999871081461e+002
1.57761126969933e-003,-1.47548822651704e-001,1.79999870784273e+002
1.58124803927037e-003,-1.47548822651586e-001,1.79999870486400e+002
1.58489319246110e-003,-1.47548822651641e-001,1.79999870187840e+002
1.58854674859776e-003,-1.47548822651695e-001,1.79999869888592e+002
1.59220872705115e-003,-1.47548822651748e-001,1.79999869588654e+002
1.59587914723672e-003,-1.47548822651644e-001,1.79999869288025e+002
1.59955802861465e-003,-1.47548822651697e-001,1.79999868986703e+002
1.60324539069002e-003,-1.47548822651717e-001,1.79999868684686e+002
1.60694125301286e-003,-1.47548822651754e-001,1.79999868381973e+002
1.61064563517825e-003,-1.47548822651710e-001,1.79999868078562e+002
1.61435855682647e-003,-1.47548822651714e-001,1.79999867774452e+002
1.61808003764305e-003,-1.47548822651764e-001,1.79999867469640e+002
1.62181009735891e-003,-1.47548822651720e-001,1.79999867164126e+002
1.62554875575047e-003,-1.47548822651754e-001,1.79999866857908e+002
1.62929603263970e-003,-1.47548822651645e-001,1.79999866550984e+002
1.63305194789432e-003,-1.47548822651757e-001,1.79999866243352e+002
1.63681652142779e-003,-1.47548822651678e-001,1.79999865935011e+002
1.64058977319952e-003,-1.47548822651709e-001,1.79999865625959e+002
1.64437172321491e-003,-1.47548822651662e-001,1.79999865316195e+002
1.64816239152549e-003,-1.47548822651771e-001,1.79999865005717e+002
1.65196179822900e-003,-1.47548822651659e-001,1.79999864694523e+002
1.65576996346951e-003,-1.47548822651673e-001,1.79999864382612e+002
1.65958690743754e-003,-1.47548822651718e-001,1.79999864069981e+002
1.66341265037015e-003,-1.47548822651715e-001,1.79999863756630e+002
1.66724721255104e-003,-1.47548822651727e-001,1.79999863442557e+002
1.67109061431069e-003,-1.47548822651629e-001,1.79999863127759e+002
1.67494287602642e-003,-1.47548822651734e-001,1.79999862812236e+002
1.67880401812254e-003,-1.47548822651667e-001,1.79999862495986e+002
1.68267406107045e-003,-1.47548822651756e-001,1.79999862179006e+002
1.68655302538872e-003,-1.47548822651703e-001,1.79999861861296e+002
1.69044093164324e-003,-1.47548822651664e-001,1.79999861542854e+002
1.69433780044731e-003,-1.47548822651752e-001,1.79999861223677e+002
1.69824365246172e-003,-1.47548822651711e-001,1.79999860903764e+002
1.70215850839493e-003,-1.47548822651735e-001,1.79999860583115e+002
1.70608238900310e-003,-1.47548822651710e-001,1.79999860261725e+002
1.71001531509027e-003,-1.47548822651780e-001,1.79999859939595e+002
1.71395730750840e-003,-1.47548822651738e-001,1.79999859616723e+002
1.71790838715757e-003,-1.47548822651744e-001,1.79999859293106e+002
1.72186857498599e-003,-1.47548822651669e-001,1.79999858968743e+002
1.72583789199018e-003,-1.47548822651737e-001,1.79999858643632e+002
1.72981635921508e-003,-1.47548822651630e-001,1.79999858317772e+002
1.73380399775412e-003,-1.47548822651633e-001,1.79999857991161e+002
1.73780082874935e-003,-1.47548822651667e-001,1.79999857663797e+002
1.74180687339159e-003,-1.47548822651701e-001,1.79999857335678e+002
1.74582215292048e-003,-1.47548822651748e-001,1.79999857006803e+002
1.74984668862464e-003,-1.47548822651750e-001,1.79999856677170e+002
1.75388050184174e-003,-1.47548822651781e-001,1.79999856346776e+002
1.75792361395867e-003,-1.47548822651733e-001,1.79999856015621e+002
1.76197604641161e-003,-1.47548822651732e-001,1.79999855683703e+002
1.76603782068614e-003,-1.47548822651746e-001,1.79999855351020e+002
1.77010895831740e-003,-1.47548822651681e-001,1.79999855017569e+002
1.77418948089014e-003,-1.47548822651709e-001,1.79999854683350e+002
1.77827941003890e-003,-1.47548822651706e-001,1.79999854348361e+002
1.78237876744807e-003,-1.47548822651765e-001,1.79999854012599e+002
1.78648757485203e-003,-1.47548822651760e-001,1.79999853676063e+002
1.79060585403527e-003,-1.47548822651708e-001,1.79999853338752e+002
1.79473362683250e-003,-1.47548822651797e-001,1.79999853000663e+002
1.79887091512876e-003,-1.47548822651711e-001,1.79999852661794e+002
1.80301774085954e-003,-1.47548822651720e-001,1.79999852322145e+002
1.80717412601090e-003,-1.47548822651618e-001,1.79999851981712e+002
1.81134009261958e-003,-1.47548822651705e-001,1.79999851640495e+002
1.81551566277311e-003,-1.47548822651821e-001,1.79999851298491e+002
1.81970085860996e-003,-1.47548822651781e-001,1.79999850955698e+002
1.82389570231961e-003,-1.47548822651833e-001,1.79999850612116e+002
1.82810021614272e-003,-1.47548822651822e-001,1.79999850267741e+002
1.83231442237119e-003,-1.47548822651748e-001,1.79999849922573e+002
1.83653834334832e-003,-1.47548822651752e-001,1.79999849576608e+002
1.84077200146893e-003,-1.47548822651786e-001,1.79999849229847e+002
1.84501541917945e-003,-1.47548822651742e-001,1.79999848882286e+002
1.84926861897805e-003,-1.47548822651681e-001,1.79999848533923e+002
1.85353162341479e-003,-1.47548822651745e-001,1.79999848184758e+002
1.85780445509167e-003,-1.47548822651840e-001,1.79999847834788e+002
1.86208713666284e-003,-1.47548822651745e-001,1.79999847484011e+002
1.86637969083464e-003,-1.47548822651775e-001,1.79999847132425e+002
1.87068214036577e-003,-1.47548822651821e-001,1.79999846780029e+002
1.87499450806739e-003,-1.47548822651772e-001,1.79999846426820e+002
1.87931681680324e-003,-1.47548822651769e-001,1.79999846072798e+002
1.88364908948977e-003,-1.47548822651860e-001,1.79999845717959e+002
1.88799134909627e-003,-1.47548822651808e-001,1.79999845362302e+002
1.89234361864495e-003,-1.47548822651772e-001,1.79999845005825e+002
1.89670592121112e-003,-1.47548822651783e-001,1.79999844648527e+002
1.90107827992327e-003,-1.47548822651761e-001,1.79999844290405e+002
1.90546071796322e-003,-1.47548822651786e-001,1.79999843931457e+002
1.90985325856621e-003,-1.47548822651778e-001,1.79999843571682e+002
1.91425592502106e-003,-1.47548822651738e-001,1.79999843211077e+002
1.91866874067026e-003,-1.47548822651823e-001,1.79999842849641e+002
1.92309172891013e-003,-1.47548822651720e-001,1.79999842487372e+002
1.92752491319091e-003,-1.47548822651819e-001,1.79999842124268e+002
1.93196831701689e-003,-1.47548822651699e-001,1.79999841760327e+002
1.93642196394658e-003,-1.47548822651765e-001,1.79999841395547e+002
1.94088587759275e-003,-1.47548822651785e-001,1.79999841029926e+002
1.94536008162263e-003,-1.47548822651818e-001,1.79999840663462e+002
1.94984459975802e-003,-1.47548822651773e-001,1.79999840296153e+002
1.95433945577536e-003,-1.47548822651806e-001,1.79999839927998e+002
1.95884467350596e-003,-1.47548822651774e-001,1.79999839558994e+002
1.96336027683602e-003,-1.47548822651791e-001,1.79999839189139e+002
1.96788628970681e-003,-1.47548822651790e-001,1.79999838818432e+002
1.97242273611482e-003,-1.47548822651772e-001,1.79999838446870e+002
1.97696964011183e-003,-1.47548822651801e-001,1.79999838074452e+002
1.98152702580507e-003,-1.47548822651751e-001,1.79999837701175e+002
1.98609491735734e-003,-1.47548822651794e-001,1.79999837327037e+002
1.99067333898716e-003,-1.47548822651758e-001,1.79999836952037e+002
1.99526231496885e-003,-1.47548822651800e-001,1.79999836576173e+002
1.99986186963271e-003,-1.47548822651825e-001,1.79999836199442e+002
2.00447202736513e-003,-1.47548822651833e-001,1.79999835821843e+002
2.00909281260870e-003,-1.47548822651936e-001,1.79999835443373e+002
2.01372424986236e-003,-1.47548822651849e-001,1.79999835064031e+002
2.01836636368153e-003,-1.47548822651793e-001,1.79999834683814e+002
2.02301917867824e-003,-1.47548822651830e-001,1.79999834302721e+002
2.02768271952125e-003,-1.47548822651772e-001,1.79999833920749e+002
2.03235701093619e-003,-1.47548822651839e-001,1.79999833537897e+002
2.03704207770569e-003,-1.47548822651858e-001,1.79999833154162e+002
2.04173794466950e-003,-1.47548822651829e-001,1.79999832769543e+002
2.04644463672464e-003,-1.47548822651800e-001,1.79999832384037e+002
2.05116217882553e-003,-1.47548822651754e-001,1.79999831997642e+002
2.05589059598411e-003,-1.47548822651833e-001,1.79999831610357e+002
2.06062991326997e-003,-1.47548822651832e-001,1.79999831222179e+002
2.06538015581050e-003,-1.47548822651800e-001,1.79999830833106e+002
2.07014134879101e-003,-1.47548822651875e-001,1.79999830443136e+002
2.07491351745488e-003,-1.47548822651857e-001,1.79999830052267e+002
2.07969668710366e-003,-1.47548822651901e-001,1.79999829660497e+002
2.08449088309725e-003,-1.47548822651880e-001,1.79999829267824e+002
2.08929613085401e-003,-1.47548822651812e-001,1.79999828874245e+002
2.09411245585086e-003,-1.47548822651790e-001,1.79999828479760e+002
2.09893988362349e-003,-1.47548822651783e-001,1.79999828084365e+002
2.10377843976644e-003,-1.47548822651885e-001,1.79999827688058e+002
2.10862814993325e-003,-1.47548822651813e-001,1.79999827290838e+002
2.11348903983661e-003,-1.47548822651835e-001,1.79999826892702e+002
2.11836113524847e-003,-1.47548822651857e-001,1.79999826493649e+002
2.12324446200018e-003,-1.47548822651861e-001,1.79999826093675e+002
2.12813904598268e-003,-1.47548822651880e-001,1.79999825692780e+002
2.13304491314654e-003,-1.47548822651914e-001,1.79999825290960e+002
2.13796208950220e-003,-1.47548822651839e-001,1.79999824888214e+002
2.14289060112002e-003,-1.47548822651949e-001,1.79999824484540e+002
2.14783047413050e-003,-1.47548822651886e-001,1.79999824079935e+002
2.15278173472434e-003,-1.47548822651902e-001,1.79999823674398e+002
2.15774440915263e-003,-1.47548822651821e-001,1.79999823267925e+002
2.16271852372698e-003,-1.47548822651866e-001,1.79999822860515e+002
2.16770410481966e-003,-1.47548822651847e-001,1.79999822452167e+002
2.17270117886371e-003,-1.47548822651937e-001,1.79999822042877e+002
2.17770977235312e-003,-1.47548822651916e-001,1.79999821632643e+002
2.18272991184296e-003,-1.47548822651895e-001,1.79999821221464e+002
2.18776162394951e-003,-1.47548822651825e-001,1.79999820809337e+002
2.19280493535041e-003,-1.47548822651943e-001,1.79999820396260e+002
2.19785987278479e-003,-1.47548822651871e-001,1.79999819982230e+002
2.20292646305342e-003,-1.47548822651957e-001,1.79999819567247e+002
2.20800473301886e-003,-1.47548822651883e-001,1.79999819151306e+002
2.21309470960560e-003,-1.47548822651856e-001,1.79999818734407e+002
2.21819641980018e-003,-1.47548822651890e-001,1.79999818316547e+002
2.22330989065136e-003,-1.47548822651877e-001,1.79999817897723e+002
2.22843514927026e-003,-1.47548822651831e-001,1.79999817477934e+002
2.23357222283049e-003,-1.47548822651848e-001,1.79999817057177e+002
2.23872113856830e-003,-1.47548822651848e-001,1.79999816635450e+002
2.24388192378273e-003,-1.47548822651925e-001,1.79999816212751e+002
2.24905460583574e-003,-1.47548822651955e-001,1.79999815789078e+002
2.25423921215239e-003,-1.47548822651904e-001,1.79999815364428e+002
2.25943577022094e-003,-1.47548822651931e-001,1.79999814938799e+002
2.26464430759302e-003,-1.47548822651942e-001,1.79999814512189e+002
2.26986485188378e-003,-1.47548822651872e-001,1.79999814084595e+002
2.27509743077203e-003,-1.47548822651881e-001,1.79999813656016e+002
2.28034207200038e-003,-1.47548822651873e-001,1.79999813226449e+002
2.28559880337539e-003,-1.47548822651959e-001,1.79999812795891e+002
2.29086765276773e-003,-1.47548822651964e-001,1.79999812364341e+002
2.29614864811232e-003,-1.47548822651937e-001,1.79999811931796e+002
2.30144181740847e-003,-1.47548822651878e-001,1.79999811498254e+002
2.30674718872003e-003,-1.47548822651960e-001,1.79999811063713e+002
2.31206479017555e-003,-1.47548822651899e-001,1.79999810628170e+002
2.31739464996844e-003,-1.47548822651883e-001,1.79999810191623e+002
2.32273679635706e-003,-1.47548822651930e-001,1.79999809754069e+002
2.32809125766496e-003,-1.47548822651992e-001,1.79999809315507e+002
2.33345806228096e-003,-1.47548822651974e-001,1.79999808875934e+002
2.33883723865931e-003,-1.47548822651908e-001,1.79999808435347e+002
2.34422881531988e-003,-1.47548822651904e-001,1.79999807993745e+002
2.34963282084826e-003,-1.47548822651961e-001,1.79999807551125e+002
2.35504928389596e-003,-1.47548822651908e-001,1.79999807107485e+002
2.36047823318053e-003,-1.47548822651978e-001,1.79999806662821e+002
2.36591969748571e-003,-1.47548822652001e-001,1.79999806217133e+002
2.37137370566161e-003,-1.47548822651975e-001,1.79999805770418e+002
2.37684028662483e-003,-1.47548822651980e-001,1.79999805322672e+002
2.38231946935864e-003,-1.47548822651938e-001,1.79999804873895e+002
2.38781128291313e-003,-1.47548822652003e-001,1.79999804424082e+002
2.39331575640534e-003,-1.47548822652036e-001,1.79999803973233e+002
2.39883291901944e-003,-1.47548822652037e-001,1.79999803521345e+002
2.40436280000689e-003,-1.47548822651943e-001,1.79999803068415e+002
2.40990542868655e-003,-1.47548822651941e-001,1.79999802614441e+002
2.41546083444489e-003,-1.47548822652002e-001,1.79999802159420e+002
2.42102904673613e-003,-1.47548822652013e-001,1.79999801703350e+002
2.42661009508237e-003,-1.47548822651946e-001,1.79999801246229e+002
2.43220400907377e-003,-1.47548822651988e-001,1.79999800788055e+002
2.43781081836870e-003,-1.47548822651918e-001,1.79999800328824e+002
2.44343055269392e-003,-1.47548822652066e-001,1.79999799868534e+002
2.44906324184470e-003,-1.47548822651963e-001,1.79999799407183e+002
2.45470891568498e-003,-1.47548822652064e-001,1.79999798944769e+002
2.46036760414758e-003,-1.47548822651942e-001,1.79999798481289e+002
2.46603933723429e-003,-1.47548822651976e-001,1.79999798016740e+002
2.47172414501608e-003,-1.47548822652010e-001,1.79999797551121e+002
2.47742205763323e-003,-1.47548822652026e-001,1.79999797084428e+002
2.48313310529552e-003,-1.47548822652026e-001,1.79999796616659e+002
2.48885731828234e-003,-1.47548822651977e-001,1.79999796147812e+002
2.49459472694290e-003,-1.47548822652006e-001,1.79999795677885e+002
2.50034536169638e-003,-1.47548822652049e-001,1.79999795206873e+002
2.50610925303206e-003,-1.47548822652091e-001,1.79999794734776e+002
2.51188643150953e-003,-1.47548822652022e-001,1.79999794261591e+002
2.51767692775880e-003,-1.47548822652062e-001,1.79999793787315e+002
2.52348077248052e-003,-1.47548822652037e-001,1.79999793311946e+002
2.52929799644609e-003,-1.47548822652013e-001,1.79999792835481e+002
2.53512863049785e-003,-1.47548822651938e-001,1.79999792357917e+002
2.54097270554925e-003,-1.47548822652036e-001,1.79999791879253e+002
2.54683025258499e-003,-1.47548822652085e-001,1.79999791399485e+002
2.55270130266119e-003,-1.47548822652055e-001,1.79999790918611e+002
2.55858588690559e-003,-1.47548822652055e-001,1.79999790436629e+002
2.56448403651766e-003,-1.47548822652069e-001,1.79999789953535e+002
